,UNKNOWN,FES,ABL2,BMX,TEC,IGF1R,TYK2,ZAK,STK39,STK24,MST4,MAP4K4,TNIK,SLK,STK10,PAK4,PKMYT1,CSNK1G1,CSNK1G3,VRK1,GSG2,PLK4,TLK1,ADRBK1,ADRBK2,GRK5,PDPK1,RPS6KA1,RPS6KA6,AKT3,STK38L,CDC42BPB,STK32A,CHEK2,DCLK1,PHKG2,CAMK2A,STK33,SNF1LK2,PRKAA1,PRKAA2,STK17A,STK17B,PIM2,PIM3,PIM1,NEK1,NEK2,CAMKK2,STK16,GAK,AAK1,CDK9,CDK2,PCTK2,MAPK8,MAPK13,MAPK3,MAPK7,CDKL1,SRPK1,SRPK2,CLK3,CLK4,DYRK1A,DYRK2,CDC7,TTK,GUCY2D
SB-390523,3.128436113,0.68,0.32,0.49,-0.85,-0.22,-0.02,-0.02,-0.2,1.01,0.6,-0.54,-0.28,,1.23,0.84,-0.06,0.48,-0.06,-0.19,2.67,1.03,1.3,0.33,-0.42,0.29,-0.07,0.17,0.88,-0.19,-0.73,-0.04,0,-0.04,0.04,0.19,1.6,-0.56,1.02,0.53,1.97,-0.41,-0.26,2.1,2.17,1.11,-0.41,-0.12,2.07,4.61,-0.36,0.38,2.44,1.76,0.83,0.14,0.31,0.12,0.69,0.08,4.11,0.55,0.47,4.09,3.34,0.1,-0.34,2.16,-0.45
SB-390527,1.044578393,0.19,0.42,0.01,-0.8,-0.27,-0.11,0,-0.21,0.14,1.01,-0.17,-0.02,,2.4,0.7,-0.44,0.56,-0.22,-0.24,2.52,0.09,2.28,0.37,-0.4,0.63,0.07,0.12,0.53,-0.34,-0.52,-1.35,-0.5,-0.01,0.12,-0.18,1.1,0.1,1.42,0.26,1.34,-1.04,-0.43,0.91,0.82,0.29,-0.46,0.09,2.1,1.79,-0.68,0.64,2.03,1.75,1.4,-0.16,-0.13,-0.1,-0.01,-0.24,5.38,0.39,1.52,3.99,2.96,0.06,-0.22,0.63,-0.63
SB-400868-A,4.368417566,0.02,-0.02,0.14,-0.98,-0.3,0.02,0.24,-0.73,-0.59,-0.03,-0.16,-0.08,,-0.82,0.28,-0.1,4.44,0.34,0.07,4.29,-0.41,0.07,0.41,-0.25,-0.22,-0.12,0.15,0.7,0,-0.75,-1.11,-0.46,-0.49,-0.06,-0.16,0.24,-0.11,-0.36,-0.13,0.22,-1.09,-0.88,0.37,0.31,0.01,-0.38,0.23,-0.08,0.23,-0.29,-0.14,-0.03,-0.46,0.02,-0.23,-0.16,-0.16,0.21,-0.26,-0.15,-0.23,-0.56,0.25,-0.5,0.05,-0.53,0.76,-0.54
SB-409513,0.262777921,0.11,0.06,0.27,-0.84,-0.35,-0.17,-0.25,-0.54,-0.68,-0.17,-0.28,-0.19,,-0.46,0.45,-0.21,-0.08,-0.12,0.27,0.38,0.29,0.24,0.51,-0.32,-0.15,-0.23,-0.04,0.71,-0.25,-0.18,-1.58,-0.03,-0.63,0.08,-0.28,0.13,-0.38,0.07,0.28,0.38,-0.83,-0.55,0,0.13,-0.06,-0.19,0.1,0.2,1.75,-0.49,0.13,0.03,0.23,0.18,0.59,-0.22,-0.16,-0.11,-0.07,0.38,-0.08,-0.52,1.3,0.31,0.08,-0.04,0.24,-0.55
SB-409514,1.079022322,0.5,0.36,0.35,-1.11,0.04,0.49,0.31,0.89,3.6,1.92,-0.78,0.4,,3.09,1.84,-0.36,2.15,-0.17,0.46,1.26,2.84,4.11,0.37,-0.47,1.99,1.34,1.16,2.97,-0.18,-0.14,-0.72,0.47,2.09,0.45,0.34,2.41,1.07,4.96,2.85,4.52,-0.41,0.34,2.31,2.48,1.89,-0.22,0.44,1.37,4.06,-0.52,1.63,2.6,1.8,0.94,0.46,-0.07,-0.3,0.08,-0.09,1.97,0.11,0.87,5.33,3.01,0.43,0.77,1.02,-0.75
SB-431533,1.623243041,0.04,0.3,0.08,-0.02,-0.01,0.82,-0.2,-0.13,-0.92,-0.3,2.02,0.01,-0.85,-0.25,-0.24,-0.6,3.02,0.14,0.63,-0.22,0.25,0.2,0.32,0,-0.17,-0.2,0.12,0.37,-0.62,-0.65,-1.58,-0.36,0.1,0.21,-0.59,-0.27,0.08,1.85,-0.44,0.68,-0.58,-0.46,0.79,0.38,-0.16,-0.18,-0.48,-0.04,0.57,-0.38,0.16,-0.07,-0.2,-0.15,-0.27,-0.23,0.02,0.1,-0.46,0.18,-0.15,-0.24,1.01,0.2,-0.03,0.24,0.11,-0.02
SB-431542-A,1.044578393,-0.58,0.22,0.17,-0.26,-0.12,1.32,0.38,-0.19,-0.06,-0.16,4.87,-0.71,-0.66,0.16,-0.28,-0.42,3.71,0.34,0.23,0.03,0.25,-0.07,-0.07,0.15,1.84,-0.36,-0.16,0.29,-0.72,-0.35,-0.83,-0.16,0.14,-0.44,-0.47,-0.12,0.02,-0.5,-0.18,0.59,-0.32,-0.1,0.07,0.51,-0.22,-0.28,-0.15,-0.54,0,-0.25,-0.54,-0.04,0.17,-0.09,0.19,-0.17,-0.01,-0.55,-0.39,0.1,-0.16,0.18,0.7,0.42,0.04,-0.17,0.31,-0.23
SB-437013,1.458791213,0.12,0.18,-0.47,-0.81,-0.52,-0.41,-0.74,-0.94,-0.49,-0.9,-0.94,3.86,,8.9,-0.1,0.07,1.7,-0.35,-0.3,0.32,0.03,-0.74,0.21,-0.77,0.62,-0.74,0.57,1.13,-0.4,-1.11,-2.02,1.91,-0.84,-0.02,-0.58,-0.12,-0.01,-0.01,-0.34,0.44,-1.31,-1.05,-0.75,-0.44,-1.15,-0.36,-0.52,0.34,0.48,0.7,-0.09,-0.62,-0.51,-0.05,-0.38,-0.54,-0.44,-0.64,-0.77,-0.44,-0.12,-0.58,-0.43,-0.31,-0.38,3.45,-0.18,-1.02
SB-476429-A,5.674738071,0.09,2.97,0.77,0.59,-0.16,0.69,2.52,0.71,2.02,1.27,-1.23,1.27,2.19,4.21,0.35,1.36,2.79,0.02,0.49,0.61,1.78,0.77,-0.02,-0.04,2.63,-0.07,3.94,3.95,-0.36,0.03,-0.02,2.39,0.91,-0.03,-0.22,0.03,0.77,-1.54,-0.36,0.89,0.33,1.88,1.19,1.48,1.57,0.04,0.56,0.43,0.53,3.53,0.55,0.8,0.67,0.06,2.56,-0.1,0.02,-0.04,-0.1,1.12,0.18,0.52,1.15,1.3,0.53,3.6,1.56,0.04
SB-590885-AAD,0.591681576,-0.24,2.26,-0.02,-0.05,-0.08,2.57,0.14,-0.14,-0.72,-0.47,0.69,1.78,3.57,4.38,0.01,-0.2,2.31,0.33,-0.47,-0.27,0.74,0.38,-0.21,0.23,-0.52,0.21,0.09,0.52,-0.35,-0.22,0.4,-0.23,-0.04,-0.23,-0.71,0.36,-0.27,2.01,-0.44,0.14,0.34,-0.45,0.64,0.32,-0.21,-0.1,0.24,0.35,0.67,1.99,1.09,-0.03,-0.6,0.28,0.56,-0.33,-0.08,0.04,-0.27,-0.11,0.11,0.15,0.44,0.16,-0.18,-0.18,-0.17,0.55
